,beef,businessName,case_number,chicken,city,lat,link,long,pork,qty_recovered,recall_announcement,recall_date,state,street,zip
0,1.0,hamrock Foods,102-2011,1.0,Orlando,-10,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index206a,-10,0.0,30 pounds, Marinated Beef and Chicken Products (mislabeling and undeclared allergen),"Dec 30, 2011",FL,,32801
1,1.0,Tyson Fresh Meats Inc.,101-2011,1.0,Tuscola,39.800426,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index204a,-88.33017,0.0,"19,087 pounds", 10-pound chubs of CHUCK FINE GROUND BEEF 80/20 (E. coli) ,"Dec 16, 2011",IL,961 N County Road 750 E,61953
2,1.0,Hannaford,100-2011,1.0,Marion,38.34819,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index205a,-97.02079,1.0,"112,230 pounds", Ground Beef Products,"Dec 15, 2011",KS,222 E Main St,66861
3,0.0,B. Roberts Foods,099-2011,1.0,Charlotte,35.1317,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index207a,-80.94966,0.0,45 pounds, Harris Teeter Meatloaf with Red Skin Mashed Potatoes (misbranding and undeclared allergen),"Dec 15, 2011",NC,2700 Westinghouse Blvd Ste A,28273
4,0.0,Silva Sausage Co.,098-2011,1.0,Santa Maria,34.954845,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index97a,-120.44566,1.0,"1,460 pounds", Chorizo Sausages (misbranding and undeclared allergen),"Dec 10, 2011",CA,232 N Benwiley Ave,93458
5,1.0,House of Raeford Farms,097-2011,1.0,Gibsland,32.54348,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index209a,-93.05308,1.0,547 pounds, Boneless Oven Roasted Chicken Breast (Listeria) ,"Dec 9, 2011",LA,140 Randall Farm Rd,71028
6,1.0,"DOrazio Foods, Inc.",096-2011,1.0,Bellmawr,39.86831,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index208a,-75.11545,1.0,"16,308 pounds", Frozen Stuffed Pasta Products (produced without inspection),"Dec 8, 2011",NJ,960 Creek Rd,08031
7,0.0,"Popkoff Frozen Food, dba Blossom Foods",095-2011,1.0,San Francisco,37.738403,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index98a,-122.40371,0.0,210 pounds, Frozen,"Dec 2, 2011",CA,2277 Shafter Ave,94124
8,0.0,Papa Cantella's Inc.,094-2011,1.0,Vernon,33.99844,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index99a,-118.20705,1.0,36 pounds, Cantella's Fully Cooked Chicken Sausage With Apples (misbranding and undeclared allergen),"Nov 29, 2011",CA,3341 E 50th St,90058
9,0.0,Silva Sausage Co.,093-2011,1.0,Santa Maria,34.954845,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index210a,-120.44566,1.0,460 pounds, Silva Sausage English Brand Bangers (misbranding and undeclared allergen),"Nov 28, 2011",CA,232 N Benwiley Ave,93458
