,beef,businessName,case_number,chicken,city,lat,link,long,pork,product_desc,qty_recovered,recall_announcement,recall_date,recall_reason,state,street,zip
0,0,B. Robert’s Foods,094-2014,1,Charlotte,35.1317,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-094-2014-release,-80.94966,0,Canned Soup Products,"12월 31, 2014",North Carolina Firm Recalls Canned Soup Products Due to Misbranding and Undeclared Allergens,"12월 31, 2014",to Misbranding and Undeclared Allergens,NC,2700 Westinghouse Blvd Ste A,28273
1,1,"Hausman Foods, LLC.",092-2014,1,San Antonio,29.572538,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-092-2014-release,-98.59732,1,Beef and Pork Products,"12월 31, 2014",Texas Firm Recalls Beef and Pork Products Due to Misbranding and Undeclared Allergens,"12월 29, 2014",to Misbranding and Undeclared Allergens,TX,5638 W Hausman Rd,78249
2,1,J & B Sausage Co.,091-2014 EXP1,1,Waelder,29.69353,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-091-2014-release-expansion,-97.29972,1,Chicken and Beef Products,"12월 31, 2014",Texas Firm Recalls Chicken and Beef Products Due to Misbranding and Undeclared Allergens,"12월 30, 2014",to Misbranding and Undeclared Allergens,TX,505 W US Highway 90,78959
3,1,J & B Sausage Co.,091-2014,1,Waelder,29.69353,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-091-2014-release,-97.29972,1,Chicken and Beef Products,"12월 31, 2014",Texas Firm Recalls Chicken and Beef Products Due To Misbranding and Undeclared Allergens,"12월 27, 2014",To Misbranding and Undeclared Allergens,TX,505 W US Highway 90,78959
4,0,Abe’s Finest Meats,086-2014,1,Palatka,29.65294,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-086-2014,-81.63915,1,,N/A (Class III Recall),Recall Notification Report 086-2014 (Hickory Smoked Sliced Bacon),"12월 22, 2014",,FL,1122 Bronson St,32177
5,1,Ranchers Legacy Meat Co.,082-2014,1,Waynesboro,-10,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-082-2014-release,-10,0,Ground Beef Products,,Minnesota Firm Recalls Ground Beef Products Due To Possible E. Coli O157:H7 Contamination,"11월 22, 2014",To Possible E. Coli O157:H7 Contamination,PA,5053 Design Ave,17268
6,1,City Line Foods Manufacturing Co.,079-2014-EXP,1,Rancho Cucamonga,34.087955,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-079-2014-release-EXP,-117.53913,0,Pretzel Dog Products,,Pennsylvania Firm Expands Recalls Pretzel Dog Products Due To Misbranding and Undeclared Allergens,"11월 18, 2014",To Misbranding and Undeclared Allergens,CA,9083 Santa Anita Ave,91730
7,1,City Line Foods Manufacturing Co.,079-2014,1,Rancho Cucamonga,34.087955,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-079-2014-release,-117.53913,0,Pretzel Dog Products,,Pennsylvania Firm Recalls Pretzel Dog Products Due To Misbranding and Undeclared Allergens,"11월 15, 2014",To Misbranding and Undeclared Allergens,CA,9083 Santa Anita Ave,91730
8,1,Kasia’s Deli Inc.,078-2014,1,Chicago,41.88959,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-078-2014-release,-87.6842,1,Pierogi Products,"11월 25, 2014",Illinois Firm Recalls Pierogi Products Due To Misbranding and Undeclared Allergens,"11월 14, 2014",To Misbranding and Undeclared Allergens,IL,440 N Oakley Blvd,60612
9,0,Kulana Foods Ltd.,077-2014,1,Hilo,19.683533,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-077-2014-release,-155.08461,1,Frozen Pork Products,N/A (Class II Recall),Hawaii Firm Recalls Frozen Pork Products Due To Misbranding and Undeclared Allergen,"11월 09, 2014",To Misbranding and Undeclared Allergen,HI,590 W Kawailani St,96720
10,0,Carlton Foods,075-2014,1,Spring Grove,39.82541,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-075-2014-release,-76.89419,0,Boudin Products,"11월 04, 2014",Texas Firm Recalls Boudin Products Due To Possible Temperature Abuse,"10월 30, 2014",To Possible Temperature Abuse,PA,6051 Carlton Ave,17362
11,0,"alama Holdings, LLC",075-2013 expansion,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-075-2013-release-expansion,,0,"Additional Frozen, Raw Chicken Products","12월 23, 2013","Hawaii Firm Recalls Additional Frozen, Raw Chicken Products Due To Possible Temperature Abuse","12월 24, 2013",To Possible Temperature Abuse,,,
12,0,"Palama Holdings, LLC",075-2013,1,Lake Mills,43.430126,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-075-2013-release,-93.53126,0,"Frozen, Raw Chicken Products","12월 23, 2013","Hawaii Firm Recalls Frozen, Raw Chicken Products Due To Possible Temperature Abuse","12월 20, 2013",To Possible Temperature Abuse,IA,877 N Lake St,50450
13,0,Murry’s Inc.,074-2014,1,Laurel,31.750591,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-074-2014-release,-89.152176,0,Chicken Products,"11월 06, 2014",Pennsylvania Firm Recalls Chicken Products Due to Staphylococcal Enterotoxin Contamination,"10월 25, 2014",to Staphylococcal Enterotoxin Contamination,MS,4405 Highway 15 N,39440
